City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Namibe,AO,68.52,1013,-15.2,12.15,Hotel Chik Chik Namibe
85,Aswan,EG,75.4,1013,24.09,32.91,Nuba Nile
86,Vila Franca Do Campo,PT,60.8,1027,37.72,-25.43,Pestana Bahia Praia
89,Pangai,TO,78.8,1014,-19.8,-174.35,Ha'apai Beach Resort
90,Castro,BR,60.66,1020,-24.79,-50.01,CHACARA BAILLY
91,Carnarvon,AU,78.8,1011,-24.87,113.63,Hospitality Carnarvon
96,Pimentel,PE,62.87,1015,-6.84,-79.93,Casona Del Muelle
98,Port Alfred,ZA,68.09,1014,-33.59,26.89,The Halyards Hotel
101,Lompoc,US,60.8,1012,34.64,-120.46,Holiday Inn Express Lompoc
102,Mount Gambier,AU,62.6,1006,-37.83,140.77,Commodore on the Park
104,Laela,TZ,62.91,1014,-8.57,32.05,
105,Luba,GQ,75.2,1011,3.46,8.55,
106,Mahebourg,MU,73.4,1018,-20.41,57.7,Shandrani Beachcomber Resort & Spa
107,Cassia,BR,66.7,1016,-20.58,-46.92,Hotel Ancora e Restaurante de Cassia MG
108,Luanda,AO,75.2,1012,-8.84,13.23,EPIC SANA Luanda
113,Salamiyah,SY,60.01,1018,35.01,37.05,Gondolas Forum grandchildren and grandparents
115,Port Pirie,AU,64.4,1001,-33.18,138.02,John Pirie Motor Inn
116,Raga,SS,70.07,1011,8.46,25.68,
119,Batesville,US,73.4,1015,35.77,-91.64,Holiday Inn Express & Suites Batesville
120,Port Augusta,AU,64.4,1001,-32.5,137.77,Majestic Oasis Apartments
121,Beloha,MG,68.59,1017,-25.17,45.05,
122,Sembe,CG,69.69,1011,1.65,14.58,
123,Durango,MX,62.13,1015,24.83,-104.83,
124,Ribeirao Pires,BR,75.0,1023,-23.71,-46.41,Pousada e Restaurante Recanto dos Amigos.
128,Tirau,NZ,68.0,1021,-37.98,175.75,Rose Lodge Accommodation
131,Bunia,CD,63.72,1013,1.57,30.25,Gold Star International Hotel
132,San Patricio,US,79.0,1012,28.02,-97.52,"Motel 6 Sinton, TX"
134,Airai,TL,79.68,1010,-8.93,125.41,Juvinal Martin
136,Quarai,BR,68.72,1015,-30.39,-56.45,Hotel Casino San Eugenio del Cuareim
138,Shimoda,JP,69.8,1001,34.67,138.95,Shimoda Tokyu Hotel
139,Harrisburg,US,64.99,1023,40.27,-76.88,Hilton Harrisburg
143,Touros,BR,75.2,1015,-5.2,-35.46,INN NEW HORIZON
144,Dire Dawa,ET,64.17,1013,9.59,41.87,Samrat Hotel
146,Anloga,GH,78.8,1012,5.79,0.9,Pin Drop Hotel
147,Alta Floresta,BR,72.75,1010,-9.88,-56.09,Floresta Amazonica Hotel
148,Ormara,PK,76.35,1010,25.21,64.64,
149,Behat,IN,66.2,1010,30.17,77.62,Multani's cottage
152,Souillac,MU,73.4,1018,-20.52,57.52,Bils' Villa
155,Pleasanton,US,69.8,1010,37.66,-121.87,Courtyard by Marriott Pleasanton
156,Gitega,BI,62.15,1013,-3.5,29.95,Le QUINQUINA
157,Lamar,US,71.6,1013,33.67,-95.58,Kings Inn Paris TX
161,Half Moon Bay,US,62.01,1013,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
164,Chuy,UY,60.96,1021,-33.7,-53.46,Nuevo Hotel Plaza
167,Bethel,US,64.4,1025,41.37,-73.41,Courtyard by Marriott Danbury
168,San Quintin,MX,64.06,1011,30.48,-115.95,Old Mill Hotel
174,Chiriqui Grande,PA,66.99,1014,8.95,-82.12,Hospedaje Cervera
176,Belmonte,BR,77.0,1017,-15.86,-38.88,Pousada Monte Carmelo O Pão
178,Sao Filipe,CV,79.54,1014,14.9,-24.5,Tortuga B&B
179,Lichinga,MZ,61.63,1016,-13.31,35.24,Residencial Bendiak
180,Chipinge,ZW,60.6,1019,-20.19,32.62,Mutare Club
182,Rio Grande,BR,64.99,1016,-32.03,-52.1,Hotel Atlântico Rio Grande
184,Bull Savanna,JM,76.68,1012,17.89,-77.59,Big Red's
185,Bugama,NG,76.57,1011,4.73,6.86,Johnbull polo
186,Sabha,LY,63.77,1021,27.04,14.43,محطة ام الارانب -سبها مواصلات
189,Nanchong,CN,69.1,1020,30.8,106.08,Marine Una Century Hotel
191,Victoria,HK,75.99,1011,22.29,114.16,Mini Hotel Central
192,Mitsamiouli,KM,79.63,1013,-11.38,43.28,Foyer ADM
194,Marfil,MX,66.2,1023,21.0,-101.28,Hotel Posada Santa Fe
202,Elliot,ZA,62.69,1018,-31.33,27.85,Rose Garden Dinner Bed and Breakfast
204,Codrington,AU,60.04,1006,-38.27,141.97,Codrington Gardens Bed And Breakfast
207,Cap Malheureux,MU,73.99,1019,-19.98,57.61,Pereybere Hotel & Spa
209,Isangel,VU,75.2,1014,-19.55,169.27,Volcano Sea View Tree House
210,Dulce Nombre De Culmi,HN,71.4,1013,15.1,-85.53,Hotel maria jose
220,Kuito,AO,61.84,1014,-12.38,16.93,Herdeiros de Antunes Capusso
221,Dilla,ET,60.91,1017,6.41,38.31,Afomiya Pension
222,Cuamba,MZ,64.02,1017,-14.8,36.54,Hotel Vision
223,Lagoa,PT,65.16,1026,39.05,-27.98,Casa Das Faias
224,Ponta Do Sol,PT,64.4,1023,32.67,-17.1,Hotel do Campo
226,Awbari,LY,66.18,1020,26.59,12.78,فندق أوباري
227,Gorahun,SL,71.78,1012,7.47,-11.24,
230,Salalah,OM,73.4,1010,17.02,54.09,HAMDAN PLAZA HOTEL
233,Kaitangata,NZ,61.72,1019,-46.28,169.85,Kaitangata Motor Camp
235,Trairi,BR,79.03,1012,-3.28,-39.27,Pousada Field Lilies - Trairi
238,Mecca,SA,79.81,1012,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
239,Saposoa,PE,70.88,1016,-6.93,-76.77,Hostal Primavera
241,Poum,NC,77.61,1012,-20.23,164.02,Gîte kajeon
242,Port Lincoln,AU,61.25,1005,-34.73,135.87,Port Lincoln Hotel
251,Tabou,CI,76.66,1012,4.42,-7.35,hotêl doufoulougou
252,Saint-Philippe,RE,73.4,1019,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
257,Porto Novo,BJ,77.68,1011,6.5,2.6,Tour Eiffel Hotel Benin
259,Coolum Beach,AU,78.01,1016,-26.53,153.1,Palmer Coolum Resort
260,Idil,TR,62.62,1018,37.34,41.89,ÇAKIR APARTMANI
263,Bocanda,CI,72.09,1012,7.06,-4.5,Hotel Bah-Nian
265,Dhing,IN,76.01,1010,26.47,92.47,Barua Restaurent
266,Sao Jose Da Coroa Grande,BR,76.69,1014,-8.9,-35.15,Crôa Mares Hotel
269,Killeen,US,78.8,1013,31.12,-97.73,Hilton Garden Inn Killeen
270,Hualmay,PE,62.74,1017,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
271,Olinda,BR,78.8,1014,-8.01,-34.86,Hotel 5 Sóis
273,Cidreira,BR,66.85,1020,-30.18,-50.21,Hotel Castelo
275,Abakaliki,NG,74.77,1011,6.32,8.12,K Suites
279,Perth,AU,75.0,1017,-31.93,115.83,Parmelia Hilton Perth
288,Balod,IN,74.97,1009,20.73,81.2,Sai sakshi girls hostel
289,Brejo Santo,BR,72.95,1013,-7.49,-38.99,Hotel Flor de Lis
290,Fereydun Kenar,IR,63.3,1023,36.69,52.52,Khezer Shahr Tourist Hotel
291,Ribeira Grande,PT,64.6,1027,38.52,-28.7,Quinta da Meia Eira
295,Pirapora,BR,69.46,1015,-17.34,-44.94,Santos Palace Hotel
296,Laguna,US,71.6,1010,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
